YEAR,MONTH,DAY,WEEKDAY,HOUR,TEAM1,TEAM2,STADIUM,LOCATION,WINNER
2017,08,2,2,18,롯데,LG,잠실,서울,LG
2017,08,2,2,18,한화,NC,마산,창원,한화
2017,08,1,1,18,SK,키움,고척,서울,키움
2017,08,1,1,18,두산,삼성,대구,대구,두산
2017,08,1,1,18,롯데,LG,잠실,서울,LG
2017,08,1,1,18,KT,KIA,광주,광주,KT
2017,08,1,1,18,한화,NC,마산,창원,NC
2019,07,31,2,18,키움,LG,잠실,서울,키움
2019,07,31,2,18,두산,NC,창원,창원,NC
2019,07,31,2,18,롯데,삼성,대구,대구,롯데
2019,07,31,2,18,KIA,SK,문학,인천,KIA
2019,07,31,2,18,한화,KT,수원,수원,한화
2019,07,30,1,18,키움,LG,잠실,서울,키움
2019,07,30,1,18,두산,NC,창원,창원,두산
2019,07,30,1,18,롯데,삼성,대구,대구,삼성
2019,07,30,1,18,KIA,SK,문학,인천,KIA
2019,07,30,1,18,한화,KT,수원,수원,KT
2019,07,28,6,18,SK,롯데,사직,부산,SK
2019,07,28,6,18,NC,키움,고척,서울,NC
2019,07,28,6,18,LG,KT,수원,수원,LG
2019,07,28,6,18,한화,삼성,대구,대구,삼성
2019,07,27,5,18,SK,롯데,사직,부산,SK
2019,07,27,5,18,NC,키움,고척,서울,키움
2019,07,27,5,18,LG,KT,수원,수원,LG
2019,07,27,5,18,KIA,두산,잠실,서울,두산
2019,07,27,5,18,한화,삼성,대구,대구,삼성
2019,07,26,4,19,SK,롯데,사직,부산,SK
2019,07,26,4,18,NC,키움,고척,서울,키움
2019,07,26,4,18,한화,삼성,대구,대구,삼성
2019,07,18,3,18,삼성,키움,고척,서울,키움
2019,07,18,3,18,NC,한화,청주,청주,NC
2019,07,18,3,18,롯데,KIA,광주,광주,롯데
2019,07,18,3,18,LG,SK,문학,인천,LG
2019,07,18,3,18,KT,두산,잠실,서울,KT
2019,07,17,2,18,삼성,키움,고척,서울,키움
2019,07,17,2,18,NC,한화,청주,청주,NC
2019,07,17,2,18,롯데,KIA,광주,광주,KIA
2019,07,17,2,18,LG,SK,문학,인천,SK
2019,07,17,2,18,KT,두산,잠실,서울,KT
2019,07,16,1,18,삼성,키움,고척,서울,키움
2019,07,16,1,18,NC,한화,청주,청주,NC
2019,07,16,1,18,LG,SK,문학,인천,SK
2019,07,16,1,18,KT,두산,잠실,서울,KT
2019,07,14,6,18,키움,SK,문학,인천,SK
2019,07,14,6,18,삼성,LG,잠실,서울,LG
2019,07,14,6,18,두산,롯데,사직,부산,두산
2019,07,14,6,18,KT,NC,창원,창원,KT
2019,07,14,6,18,한화,KIA,광주,광주,KIA
2019,07,13,5,18,키움,SK,문학,인천,SK
2019,07,13,5,18,삼성,LG,잠실,서울,LG
2019,07,13,5,18,두산,롯데,사직,부산,두산
2019,07,13,5,18,KT,NC,창원,창원,KT
2019,07,13,5,18,한화,KIA,광주,광주,한화
2019,07,12,4,19,두산,롯데,사직,부산,롯데
2019,07,12,4,19,KT,NC,창원,창원,NC
2019,07,12,4,18,키움,SK,문학,인천,키움
2019,07,12,4,18,삼성,LG,잠실,서울,삼성
2019,07,12,4,18,한화,KIA,광주,광주,KIA
2019,07,11,3,18,키움,KT,수원,수원,키움
2019,07,11,3,18,SK,한화,대전,대전,SK
2019,07,11,3,18,두산,LG,잠실,서울,두산
2019,07,11,3,18,NC,롯데,사직,부산,NC
2019,07,11,3,18,KIA,삼성,대구,대구,삼성
2019,07,9,1,18,키움,KT,수원,수원,키움
2019,07,9,1,18,SK,한화,대전,대전,한화
